RU,BG,Value
в края на,первые настоящие телескопы в европе были изготовлены в конце 16 века.,1.5526315789473684
току-що,толко то,0.18796992481203006
между другото,между прочем,0.14473684210526316
според слухове,говорят,0.3259109311740891
именно че,за время до,0.3421052631578947
освен да,вот,0.3458646616541353
съдейки по всичко,как бы там ни было,0.23684210526315788
от страна на,крайней мере,0.3026315789473685
почти като,почти такое,0.18421052631578946
във вид на,вид на,0.20723684210526316
може да се каже,казалось бы,0.23026315789473684
от страна на,из страны,0.1368421052631579
с една дума,ывфвы,0.3684210526315789
след свършването,следующег,0.29122807017543856
след като,за которым,0.30921052631578944
между другото,между другом,0.10087719298245615
все едно,п,0.39097744360902253
след свършването,в след,0.34912280701754383
с оглед на,смотря,0.2236842105263158
не веднъж,не виден,0.15460526315789472
във всеки случай,случайно,0.3045112781954887
без друго,без друга,0.03618421052631579
след свършването,в счет завершения,0.22807017543859648
между другото,между,0.3092105263157895
че даже и,наверное,0.26608187134502925
колкото повече,как,0.40601503759398483
току-що,разве что,0.19548872180451127
добре де,хорошо где,0.3270676691729323
според слухове,спорный слух,0.20242914979757087
камо ли,может быть,0.32456140350877194
по такъв начин,по таким причинам,0.19635627530364372
във вид на,как вид на,0.10855263157894736
встрани,в стороне,0.12406015037593984
камо ли,может ли,0.25877192982456143
с една дума,есть мысль,0.3070175438596491
от това че,от л,0.3771929824561404
на себе си,е,0.444078947368421
с оглед на,с видом на,0.14802631578947367
може да се каже,может как говорят,0.2390350877192982
по силата на,ссылаемс,0.26315789473684215
по такъв начин,по такому,0.24493927125506074
в отговор,н,0.4736842105263158
камо ли,может,0.25877192982456143
между другото,между прочим,0.13596491228070176
дето се вика,дети вики,0.15
в същност,в общем,0.26644736842105265
въпреки че,не иначе,0.2710526315789474
преди да,прежде всего,0.36466165413533835
за сметка на,za smetka,0.10789473684210527
колкото повече,?,0.30075187969924805
между другото,кроме того,0.28947368421052627
цял живот,сам живот,0.12280701754385964
ли е,говорите,0.9649122807017543
макар и,еп,0.3771929824561403
още начаса,сейчас,0.29665071770334933
с една дума,не знаю,0.2046783625730994
на себе си,себе на уме,0.24342105263157895
макар и,"тигърът, като добре закръглен атлет, може да се катери ( макар и не добре), да плува, да прави огромни скокове и да дърпа със силата на петима здрави човека.",1.7894736842105254
та нали,так что ли,0.25
съдейки по всичко,все,0.4276315789473684
може да се каже,как говорится,0.20175438596491227
дето се вика,дело всякое,0.18947368421052632
от страна на,от страны в,0.10263157894736842
след като,после какого то,0.555921052631579
по такъв начин,по,0.4251012145748987
ли е,ли ты,0.23684210526315788
добре де,добро до,0.015037593984962405
в края на,в крайнем случае,0.47039473684210525
в същност,по сути,0.256578947368421
с една дума,мысль,0.3421052631578947
с една дума,с одного слова,0.22514619883040934
с оглед на,с оглядка на,0.16776315789473684
освен да,п,0.4135338345864661
камо ли,кого,0.22807017543859648
добре де,хорошо,0.20300751879699247
още повече,"още повече че карл не е роден в мадрид, нито изобщо в испания.",0.6578947368421052
освен да,скорее да,0.368421052631579
съдейки по всичко,- по всему,0.319078947368421
недалече от,недалеко от,0.12200956937799043
цял живот,весел живот,0.13742690058479531
макар и,не хорошо,0.24561403508771928
по такъв начин,по этой причине,0.24696356275303646
още начаса,вообще сейчас,0.3253588516746412
след като,следующий,0.3092105263157895
колкото повече,какого,0.31015037593984957
от страна на,страна,0.2131578947368421
все едно,все едино,0.21052631578947367
в това число,с того числа,0.14354066985645933
нищо подобно,ничего подобного,0.212719298245614
дето се вика,ребенок,0.25
най-малкото,может быть,0.24736842105263157
от това че,от того,0.24269005847953215
по такъв начин,только начни,0.2125506072874494
недалече от,ж,0.4688995215311006
че даже и,что даже и,0.09064327485380116
може да се каже,может и кажется,0.10964912280701755
от страна на,не понимаю,0.3026315789473684
на себе си,не на себя,0.16447368421052633
не веднъж,не зная,0.2730263157894737
както е известно,нса,0.42481203007518786
според слухове,слух,0.3481781376518218
все пак,на все своя воля вспомните,1.495614035087719
по повод на,по поводу,0.1023391812865497
в отговор,в отговор,0.029605263157894735
току-що,только чьо,0.21428571428571427
за сметка на,за счёт,0.29736842105263156
съдейки по всичко,не знаю,0.34046052631578944
може да се каже,может проявиться,0.18421052631578946
както е известно,как,0.39661654135338337
във всеки случай,в любом случае,0.2293233082706767
съдейки по всичко,съев всё,0.32401315789473684
без друго,без труда,0.07236842105263157
в това число,v tom chisle,0.15550239234449761
между другото,и между тем,0.2478070175438596
след като,сделовательно та,0.4901315789473685
все пак,все пока,0.10964912280701754
че даже и,чего даже и,0.16666666666666666
още начаса,вообще вовремя,0.3133971291866029
все пак,всё пока,0.12719298245614036
с една дума,в одной стороны,0.30701754385964913
във вид на,вверх вид на,0.18092105263157895
ли е,ли,0.21052631578947367
с една дума,я не знаю,0.25146198830409355
дето се вика,без понятия,0.19736842105263158
та нали,эта,0.2807017543859649
може да се каже,может и себе -,0.14912280701754388
с една дума,?,0.19883040935672514
